,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
66,74,3,6.0,2.0,4.0,2.0,2.0,3.0,5.0,2.0,1.0,2.0,5.0,3.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,6.0,2.0,4.0,2.0,0.0
67,75,3,2.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,5.0,3.0,2.0,4.0,5.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0
68,76,2,4.0,3.0,2.0,5.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,4.0,5.0,1.0,5.0,2.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,77,2,5.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,78,2,7.0,1.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,7.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
71,79,2,5.0,2.0,2.0,1.0,4.0,2.0,3.0,4.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
72,80,3,2.0,2.0,6.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,6.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
73,81,2,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74,82,2,1.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,83,4,2.0,1.0,2.0,6.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
76,84,2,2.0,2.0,1.0,2.0,4.0,5.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,6.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
77,85,2,2.0,2.0,1.0,5.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,5.0,1.0,4.0,2.0,4.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,87,1,7.0,5.0,1.0,2.0,4.0,1.0,2.0,5.0,1.0,2.0,4.0,2.0,2.0,4.0,4.0,1.0,3.0,7.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,88,2,5.0,3.0,3.0,6.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,3.0,3.0,5.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
80,90,3,7.0,3.0,4.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,8.0,7.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0
81,91,3,7.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,6.0,2.0,1.0,1.0,6.0,1.0,6.0,1.0,7.0,7.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0
82,95,1,6.0,2.0,6.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,6.0,6.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
83,97,1,3.0,3.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0
84,99,1,3.0,3.0,1.0,4.0,9.0,1.0,2.0,3.0,3.0,2.0,1.0,7.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,100,1,6.0,4.0,2.0,5.0,5.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
86,103,1,3.0,2.0,5.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,3.0,1.0,3.0,4.0,1.0,5.0,3.0,5.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,105,1,5.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,106,2,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,107,2,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,108,3,1.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,109,3,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,110,4,1.0,1.0,1.0,3.0,5.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,111,3,1.0,3.0,5.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,112,4,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
95,113,2,1.0,1.0,1.0,5.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,114,1,1.0,1.0,1.0,6.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
97,115,2,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
98,117,1,1.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,122,1,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,5.0,2.0,1.0,4.0,1.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,124,1,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,126,1,1.0,1.0,2.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,130,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,133,1,3.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,134,1,5.0,1.0,1.0,2.0,2.0,2.0,1.0,5.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,136,1,4.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,137,4,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,139,1,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,140,1,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,155,1,1.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,157,1,2.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,158,1,1.0,5.0,4.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
